name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date 
Kepler-1646 b,264,2.04 Earths,15.655,2016
Kepler-1647 b,4097,1.51968 Jupiters,13.579,2016
Kepler-1649 b,302,1.03 Earths,16.268,2017
Kepler-1649 c,302,1.2 Earths,16.268,2020
Kepler-164 b,2982,2.57 Earths,14.233,2014
Kepler-164 c,2982,7.9 Earths,14.233,2014
Kepler-164 d,2982,6.57 Earths,14.233,2014
Kepler-1650 b,393,0.84 Earths,15.739,2017
Kepler-1651 b,226,4.04 Earths,13.072,2017
Kepler-1652 b,822,3.19 Earths,16.002,2017
Kepler-1653 b,2463,5.35 Earths,15.429,2017
Kepler-1654 b,1884,0.5 Jupiters,13.406,2018
Kepler-1649 b,302,1.03 Earths,16.268,2017
Kepler-1649 c,302,1.2 Earths,16.268,2020
Kepler-164 b,2982,2.57 Earths,14.233,2014
Kepler-164 c,2982,7.9 Earths,14.233,2014
Kepler-164 d,2982,6.57 Earths,14.233,2014
Kepler-1650 b,393,0.84 Earths,15.739,2017
Kepler-1651 b,226,4.04 Earths,13.072,2017
Kepler-1652 b,822,3.19 Earths,16.002,2017
Kepler-1653 b,2463,5.35 Earths,15.429,2017
Kepler-1654 b,1884,0.5 Jupiters,13.406,2018
Kepler-1655 b,700,5 Earths,11.014,2018
Kepler-1656 b,610,0.15291 Jupiters,11.64,2018
Kepler-1658 b,2629,5.88 Jupiters,11.42,2019
Kepler-165 b,1860,5.99 Earths,14.794,2014
Kepler-165 c,1860,5.6 Earths,14.794,2014
Kepler-1661 b,1355,17 Earths,14.193,2020
Kepler-1663 b,1113,10.9 Earths,15.616,2020
Kepler-1664 b,,9.45 Earths,13.531,2020
Kepler-1665 b,1105,8.44 Earths,13.591,2020
Kepler-1666 b,4679,8.66 Earths,15.015,2020
Kepler-1666 c,4679,10.5 Earths,15.015,2020
Kepler-1667 b,2082,9.19 Earths,13.446,2020
Kepler-1668 b,4522,17.4 Earths,15.677,2020
Kepler-1669 b,1800,8.15 Earths,15.909,2020
Kepler-166 b,2003,5.77 Earths,14.685,2014
Kepler-166 c,2003,6.26 Earths,14.685,2014
Kepler-166 d,2003,3.64 Earths,14.685,2016
Kepler-1670 b,7171,11.2 Earths,15.42,2020
Kepler-1671 b,1177,2.32 Earths,13.278,2020
Kepler-1672 b,1290,9.11 Earths,12.396,2020
Kepler-1666 c,4679,10.5 Earths,15.015,2020
Kepler-1667 b,2082,9.19 Earths,13.446,2020
Kepler-1668 b,4522,17.4 Earths,15.677,2020
Kepler-1669 b,1800,8.15 Earths,15.909,2020
Kepler-166 b,2003,5.77 Earths,14.685,2014
Kepler-166 c,2003,6.26 Earths,14.685,2014
Kepler-166 d,2003,3.64 Earths,14.685,2016
Kepler-1670 b,7171,11.2 Earths,15.42,2020
Kepler-1671 b,1177,2.32 Earths,13.278,2020
Kepler-1672 b,1290,9.11 Earths,12.396,2020
Kepler-1673 b,2423,8.93 Earths,13.599,2020
Kepler-1674 b,3399,10.4 Earths,15.478,2020
Kepler-1675 b,2165,9.93 Earths,13.554,2020
Kepler-1676 b,,11.3 Earths,13.377,2020
Kepler-1677 b,2451,7.76 Earths,13.644,2020
Kepler-1678 b,2831,10.9 Earths,14.907,2020
Kepler-1679 b,3042,4.93 Earths,15.114,2020
Kepler-167 b,1076,3.24 Earths,14,2014
Kepler-167 c,1076,3.01 Earths,14,2014
Kepler-167 d,1076,1.83 Earths,14,2016
Kepler-167 e,1076,0.231 Jupiters,14,2016
Kepler-1680 b,1021,2.42 Earths,13.693,2020
Kepler-1681 b,2128,7.05 Earths,14.557,2020
Kepler-1682 b,3907,8.7 Earths,15.678,2020
Kepler-1683 b,2442,4.17 Earths,14.843,2020
Kepler-1684 b,2065,8.6 Earths,15.765,2020
Kepler-1685 b,3845,7.16 Earths,15.906,2020
Kepler-1686 b,2432,2.62 Earths,13.752,2020
Kepler-1687 b,1377,3.38 Earths,15.473,2020
Kepler-1688 b,1851,2.13 Earths,13.986,2020
Kepler-167 e,1076,0.231 Jupiters,14,2016
Kepler-1680 b,1021,2.42 Earths,13.693,2020
Kepler-1681 b,2128,7.05 Earths,14.557,2020
Kepler-1682 b,3907,8.7 Earths,15.678,2020
Kepler-1683 b,2442,4.17 Earths,14.843,2020
Kepler-1684 b,2065,8.6 Earths,15.765,2020
Kepler-1685 b,3845,7.16 Earths,15.906,2020
Kepler-1686 b,2432,2.62 Earths,13.752,2020
Kepler-1687 b,1377,3.38 Earths,15.473,2020
Kepler-1688 b,1851,2.13 Earths,13.986,2020
Kepler-1689 b,968,0.799 Earths,12.108,2020
Kepler-168 b,4554,2.73 Earths,14.605,2014
Kepler-168 c,4554,7.7 Earths,14.605,2014
Kepler-1690 b,2343,8.3 Earths,14.642,2020
Kepler-1691 b,4291,4.02 Earths,14.881,2020
Kepler-1692 b,1961,1.42 Earths,14.505,2020
Kepler-1693 b,2534,2.21 Earths,14.744,2020
Kepler-1694 b,1700,1.76 Earths,14.752,2020
Kepler-1695 b,2641,1.46 Earths,14.623,2020
Kepler-1696 b,5126,8.29 Earths,15.488,2020
Kepler-1697 b,814,2.12 Earths,13.362,2020
Kepler-1698 b,730,1.25 Earths,12.876,2020
Kepler-1699 b,,3.08 Earths,14.661,2020
Kepler-169 b,1342,1.51 Earths,14.162,2014
Kepler-169 c,1342,1.92 Earths,14.162,2014
Kepler-169 d,1342,2.1 Earths,14.162,2014
Kepler-169 e,1342,5.48 Earths,14.162,2014
Kepler-169 f,1342,7.18 Earths,14.162,2014
Kepler-16 b,245,0.333 Jupiters,11.747,2011
Kepler-1700 b,2390,8.76 Earths,13.629,2020
Kepler-1697 b,814,2.12 Earths,13.362,2020
Kepler-1698 b,730,1.25 Earths,12.876,2020
Kepler-1699 b,,3.08 Earths,14.661,2020
Kepler-169 b,1342,1.51 Earths,14.162,2014
Kepler-169 c,1342,1.92 Earths,14.162,2014
Kepler-169 d,1342,2.1 Earths,14.162,2014
Kepler-169 e,1342,5.48 Earths,14.162,2014
Kepler-169 f,1342,7.18 Earths,14.162,2014
Kepler-16 b,245,0.333 Jupiters,11.747,2011
Kepler-1700 b,2390,8.76 Earths,13.629,2020
Kepler-1701 b,1938,5.57 Earths,14.55,2020
Kepler-1702 b,2865,3.2 Earths,15.774,2020
Kepler-170 b,2462,0.26 Jupiters,14.347,2014
Kepler-170 c,2462,8.55 Earths,14.347,2014
Kepler-171 b,2888,6.08 Earths,14.905,2014
Kepler-171 c,2888,7.08 Earths,14.905,2014
Kepler-171 d,2888,4.23 Earths,14.905,2014
Kepler-172 b,2768,6.12 Earths,14.537,2014
Kepler-172 c,2768,8.55 Earths,14.537,2014
Kepler-172 d,2768,5.69 Earths,14.537,2014
Kepler-172 e,2768,8.05 Earths,14.537,2014
Kepler-173 b,2784,2.21 Earths,14.258,2014
Kepler-173 c,2784,6.48 Earths,14.258,2014
Kepler-174 b,1269,4.5 Earths,14.286,2014
Kepler-174 c,1269,2.83 Earths,14.286,2014
Kepler-174 d,1269,5.43 Earths,14.286,2014
Kepler-175 b,4447,7.08 Earths,14.911,2014
Kepler-175 c,4447,9.8 Earths,14.911,2014
Kepler-176 b,1746,2.63 Earths,14.545,2014
Kepler-176 c,1746,23 Earths,14.545,2014
Kepler-172 e,2768,8.05 Earths,14.537,2014
Kepler-173 b,2784,2.21 Earths,14.258,2014
Kepler-173 c,2784,6.48 Earths,14.258,2014
Kepler-174 b,1269,4.5 Earths,14.286,2014
Kepler-174 c,1269,2.83 Earths,14.286,2014
Kepler-174 d,1269,5.43 Earths,14.286,2014
Kepler-175 b,4447,7.08 Earths,14.911,2014
Kepler-175 c,4447,9.8 Earths,14.911,2014
Kepler-176 b,1746,2.63 Earths,14.545,2014
Kepler-176 c,1746,23 Earths,14.545,2014
Kepler-176 d,1746,15.2 Earths,14.545,2014
Kepler-176 e,1746,2.7 Earths,14.545,2016
Kepler-177 b,4885,5.84 Earths,14.941,2013
Kepler-177 c,4885,14.7 Earths,14.941,2013
Kepler-178 b,2385,8.75 Earths,14.578,2014
Kepler-178 c,2385,8.65 Earths,14.578,2014
Kepler-178 d,2385,14.8 Earths,14.578,2014
Kepler-179 b,2011,3.33 Earths,14.603,2014
Kepler-179 c,2011,4.66 Earths,14.603,2014
Kepler-17 b,2610,2.45 Jupiters,14.131,2011
Kepler-180 b,2315,2.86 Earths,14.325,2014
Kepler-180 c,2315,9.32 Earths,14.325,2014
Kepler-181 b,2023,2.15 Earths,14.714,2014
Kepler-181 c,2023,4.62 Earths,14.714,2014
Kepler-182 b,5290,7.18 Earths,14.874,2014
Kepler-182 c,5290,11.6 Earths,14.874,2014
Kepler-183 b,3531,4.9 Earths,14.893,2014
Kepler-183 c,3531,35.7 Earths,14.893,2014
Kepler-184 b,2026,6.17 Earths,14.311,2014
Kepler-184 c,2026,8.8 Earths,14.311,2014
Kepler-180 b,2315,2.86 Earths,14.325,2014
Kepler-180 c,2315,9.32 Earths,14.325,2014
Kepler-181 b,2023,2.15 Earths,14.714,2014
Kepler-181 c,2023,4.62 Earths,14.714,2014
Kepler-182 b,5290,7.18 Earths,14.874,2014
Kepler-182 c,5290,11.6 Earths,14.874,2014
Kepler-183 b,3531,4.9 Earths,14.893,2014
Kepler-183 c,3531,35.7 Earths,14.893,2014
Kepler-184 b,2026,6.17 Earths,14.311,2014
Kepler-184 c,2026,8.8 Earths,14.311,2014
Kepler-184 d,2026,6.76 Earths,14.311,2014
Kepler-185 b,1543,1.71 Earths,14.443,2014
Kepler-185 c,1543,4.74 Earths,14.443,2014
Kepler-186 b,561,1.24 Earths,14.599,2014
Kepler-186 c,561,2.1 Earths,14.599,2014
Kepler-186 d,561,2.54 Earths,14.599,2014
Kepler-186 e,561,2.15 Earths,14.599,2014
Kepler-186 f,561,1.71 Earths,14.599,2014
Kepler-187 b,3852,2.57 Earths,14.175,2014
Kepler-187 c,3852,7.61 Earths,14.175,2014
Kepler-188 b,3249,3.46 Earths,14.634,2014
Kepler-188 c,3249,10.3 Earths,14.634,2014
Kepler-189 b,1963,1.92 Earths,14.821,2014
Kepler-189 c,1963,22.7 Earths,14.821,2014
Kepler-18 b,1430,6.9 Earths,13.539,2011
Kepler-18 c,1430,17.3 Earths,13.539,2011
Kepler-18 d,1430,16.4 Earths,13.539,2011
Kepler-190 b,1432,3.05 Earths,14.118,2014
Kepler-190 c,1432,2.73 Earths,14.118,2014
Kepler-191 b,1973,2.36 Earths,14.776,2014
Kepler-188 b,3249,3.46 Earths,14.634,2014
Kepler-188 c,3249,10.3 Earths,14.634,2014
Kepler-189 b,1963,1.92 Earths,14.821,2014
Kepler-189 c,1963,22.7 Earths,14.821,2014
Kepler-18 b,1430,6.9 Earths,13.539,2011
Kepler-18 c,1430,17.3 Earths,13.539,2011
Kepler-18 d,1430,16.4 Earths,13.539,2011
Kepler-190 b,1432,3.05 Earths,14.118,2014
Kepler-190 c,1432,2.73 Earths,14.118,2014
Kepler-191 b,1973,2.36 Earths,14.776,2014
Kepler-191 c,1973,4.12 Earths,14.776,2014
Kepler-191 d,1973,5.82 Earths,14.776,2016
Kepler-192 b,2166,7.95 Earths,14.104,2014
Kepler-192 c,2166,8.2 Earths,14.104,2014
Kepler-192 d,2166,1.04 Earths,14.104,2016
Kepler-193 b,3389,6.3 Earths,14.596,2014
Kepler-193 c,3389,8 Earths,14.596,2014
Kepler-194 b,3697,2.89 Earths,14.912,2014
Kepler-194 c,3697,7.22 Earths,14.912,2014
Kepler-194 d,3697,6.35 Earths,14.912,2014
Kepler-195 b,2168,4.78 Earths,14.799,2014
Kepler-195 c,2168,3.02 Earths,14.799,2014
Kepler-196 b,1492,4.27 Earths,14.103,2014
Kepler-196 c,1492,5.65 Earths,14.103,2014
Kepler-197 b,1089,1.04 Earths,11.78,2014
Kepler-197 c,1089,5.3 Earths,11.78,2014
Kepler-197 d,1089,1.98 Earths,11.78,2014
Kepler-197 e,1089,0.693 Earths,11.78,2014
Kepler-198 b,1639,8.35 Earths,13.566,2014
Kepler-198 c,1639,6.66 Earths,13.566,2014
Kepler-195 b,2168,4.78 Earths,14.799,2014
Kepler-195 c,2168,3.02 Earths,14.799,2014
Kepler-196 b,1492,4.27 Earths,14.103,2014
Kepler-196 c,1492,5.65 Earths,14.103,2014
Kepler-197 b,1089,1.04 Earths,11.78,2014
Kepler-197 c,1089,5.3 Earths,11.78,2014
Kepler-197 d,1089,1.98 Earths,11.78,2014
Kepler-197 e,1089,0.693 Earths,11.78,2014
Kepler-198 b,1639,8.35 Earths,13.566,2014
Kepler-198 c,1639,6.66 Earths,13.566,2014
Kepler-198 d,1639,2.96 Earths,13.566,2016
Kepler-199 b,1726,9.85 Earths,13.597,2014
Kepler-199 c,1726,10.6 Earths,13.597,2014
Kepler-19 b,717,8.4 Earths,11.876,2011
Kepler-19 c,717,13.1 Earths,11.876,2011
Kepler-19 d,717,22.5 Earths,11.876,2017
Kepler-200 b,2215,5.18 Earths,13.952,2014
Kepler-200 c,2215,3.15 Earths,13.952,2014
Kepler-201 b,2114,6.62 Earths,12.92,2014
Kepler-201 c,2114,8.5 Earths,12.92,2014
Kepler-202 b,938,3.29 Earths,13.843,2014
Kepler-202 c,938,4.08 Earths,13.843,2014
Kepler-203 b,2341,7.13 Earths,13.942,2014
Kepler-203 c,2341,2.36 Jupiters,13.942,2014
Kepler-203 d,2341,33.9 Earths,13.942,2014
Kepler-204 b,2285,6.94 Earths,13.874,2014
Kepler-204 c,2285,3.86 Earths,13.874,2014
Kepler-205 b,523,2.89 Earths,13.495,2014
Kepler-205 c,523,3.33 Earths,13.495,2014
Kepler-206 b,1973,1.87 Earths,13.461,2014
Kepler-202 b,938,3.29 Earths,13.843,2014
Kepler-202 c,938,4.08 Earths,13.843,2014
Kepler-203 b,2341,7.13 Earths,13.942,2014
Kepler-203 c,2341,2.36 Jupiters,13.942,2014
Kepler-203 d,2341,33.9 Earths,13.942,2014
Kepler-204 b,2285,6.94 Earths,13.874,2014
Kepler-204 c,2285,3.86 Earths,13.874,2014
Kepler-205 b,523,2.89 Earths,13.495,2014
Kepler-205 c,523,3.33 Earths,13.495,2014
Kepler-206 b,1973,1.87 Earths,13.461,2014
Kepler-206 c,1973,3.78 Earths,13.461,2014
Kepler-206 d,1973,1.81 Earths,13.461,2014
Kepler-207 b,2930,3.09 Earths,13.167,2014
Kepler-207 c,2930,2.86 Earths,13.167,2014
Kepler-207 d,2930,11 Earths,13.167,2014
Kepler-208 b,2587,3.29 Earths,13.538,2014
Kepler-208 c,2587,2.51 Earths,13.538,2014
Kepler-208 d,2587,1.87 Earths,13.538,2014
Kepler-208 e,2587,2.79 Earths,13.538,2014
Kepler-209 b,1914,5.73 Earths,13.952,2014
Kepler-209 c,1914,9.8 Earths,13.952,2014
Kepler-20 b,929,9.7 Earths,12.51,2011
Kepler-20 c,929,12.75 Earths,12.51,2011
Kepler-20 d,929,10.07 Earths,12.51,2011
Kepler-20 e,929,3.08 Earths,12.51,2011
Kepler-20 f,929,14.3 Earths,12.51,2011
Kepler-20 g,929,19.96 Earths,12.51,2016
Kepler-210 b,764,8.96 Earths,13.804,2014
Kepler-210 c,764,12.8 Earths,13.804,2014
Kepler-211 b,1018,2.13 Earths,13.273,2014
Kepler-209 c,1914,9.8 Earths,13.952,2014
Kepler-20 b,929,9.7 Earths,12.51,2011
Kepler-20 c,929,12.75 Earths,12.51,2011
Kepler-20 d,929,10.07 Earths,12.51,2011
Kepler-20 e,929,3.08 Earths,12.51,2011
Kepler-20 f,929,14.3 Earths,12.51,2011
Kepler-20 g,929,19.96 Earths,12.51,2016
Kepler-210 b,764,8.96 Earths,13.804,2014
Kepler-210 c,764,12.8 Earths,13.804,2014
Kepler-211 b,1018,2.13 Earths,13.273,2014
Kepler-211 c,1018,18.3 Earths,13.273,2014
Kepler-212 b,2287,1.32 Earths,12.987,2014
Kepler-212 c,2287,7.95 Earths,12.987,2014
Kepler-213 b,2110,3.26 Earths,13.602,2014
Kepler-213 c,2110,6.08 Earths,13.602,2014
Kepler-214 b,4084,7.32 Earths,13.906,2014
Kepler-214 c,4084,5.18 Earths,13.906,2014
Kepler-215 b,1608,3.26 Earths,13.555,2014
Kepler-215 c,1608,3.78 Earths,13.555,2014
Kepler-215 d,1608,23.6 Earths,13.555,2014
Kepler-211 c,1018,18.3 Earths,13.273,2014
Kepler-212 b,2287,1.32 Earths,12.987,2014
Kepler-212 c,2287,7.95 Earths,12.987,2014
Kepler-213 b,2110,3.26 Earths,13.602,2014
Kepler-213 c,2110,6.08 Earths,13.602,2014
Kepler-214 b,4084,7.32 Earths,13.906,2014
Kepler-214 c,4084,5.18 Earths,13.906,2014
Kepler-215 b,1608,3.26 Earths,13.555,2014
Kepler-215 c,1608,3.78 Earths,13.555,2014
Kepler-215 d,1608,23.6 Earths,13.555,2014
Kepler-215 e,1608,3.71 Earths,13.555,2014
Kepler-216 b,4010,6.12 Earths,13.961,2014
Kepler-216 c,4010,9.48 Earths,13.961,2014
Kepler-217 b,3722,5.6 Earths,13.121,2014
Kepler-217 c,3722,4.08 Earths,13.121,2014
Kepler-217 d,3722,2.3 Earths,13.121,2016
Kepler-218 b,2182,2.79 Earths,13.907,2014
Kepler-218 c,2182,10 Earths,13.907,2014
Kepler-218 d,2182,7.56 Earths,13.907,2016
Kepler-219 b,2627,9.01 Earths,13.718,2014
Kepler-219 c,2627,12.5 Earths,13.718,2014
Kepler-219 d,2627,19.1 Earths,13.718,2014
Kepler-21 b,355,5.08 Earths,8.25,2012
Kepler-220 b,561,0.457 Earths,12.857,2014
Kepler-220 c,561,3.09 Earths,12.857,2014
Kepler-220 d,561,0.904 Earths,12.857,2014
Kepler-220 e,561,2.33 Earths,12.857,2014
Kepler-221 b,1271,3.57 Earths,13.749,2014
Kepler-221 c,1271,15.1 Earths,13.749,2014
Kepler-221 d,1271,7.9 Earths,13.749,2014
Kepler-219 c,2627,12.5 Earths,13.718,2014
Kepler-219 d,2627,19.1 Earths,13.718,2014
Kepler-21 b,355,5.08 Earths,8.25,2012
Kepler-220 b,561,0.457 Earths,12.857,2014
Kepler-220 c,561,3.09 Earths,12.857,2014
Kepler-220 d,561,0.904 Earths,12.857,2014
Kepler-220 e,561,2.33 Earths,12.857,2014
Kepler-221 b,1271,3.57 Earths,13.749,2014
Kepler-221 c,1271,15.1 Earths,13.749,2014
Kepler-221 d,1271,7.9 Earths,13.749,2014
Kepler-219 c,2627,12.5 Earths,13.718,2014
Kepler-219 d,2627,19.1 Earths,13.718,2014
Kepler-21 b,355,5.08 Earths,8.25,2012
Kepler-220 b,561,0.457 Earths,12.857,2014
Kepler-220 c,561,3.09 Earths,12.857,2014
Kepler-220 d,561,0.904 Earths,12.857,2014
Kepler-220 e,561,2.33 Earths,12.857,2014
Kepler-221 b,1271,3.57 Earths,13.749,2014
Kepler-221 c,1271,15.1 Earths,13.749,2014
Kepler-221 d,1271,7.9 Earths,13.749,2014
Kepler-224 d,2609,5.9 Earths,15.636,2014
Kepler-224 e,2609,4.54 Earths,15.636,2014
Kepler-225 b,1859,1.87 Earths,15.95,2014
Kepler-225 c,1859,4.04 Earths,15.95,2014
Kepler-226 b,3289,24 Earths,15.403,2014
Kepler-226 c,3289,0.142 Jupiters,15.403,2014
Kepler-226 d,3289,1.98 Earths,15.403,2014
Kepler-227 b,3645,9.85 Earths,15.323,2014
Kepler-227 c,3645,9.48 Earths,15.323,2014
Kepler-228 b,5626,2.96 Earths,15.704,2014
Kepler-228 c,5626,7.75 Earths,15.704,2014
Kepler-228 d,5626,15.4 Earths,15.704,2014
Kepler-229 b,2759,5.48 Earths,15.826,2014
Kepler-229 c,2759,21.5 Earths,15.826,2014
Kepler-229 d,2759,14.2 Earths,15.826,2014
Kepler-22 b,620,36 Earths,11.644,2011
Kepler-230 b,2468,16.8 Earths,15.073,2014
Kepler-230 c,2468,4.82 Earths,15.073,2014
Kepler-231 b,1042,35.4 Earths,15.39,2014
Kepler-231 c,1042,24.1 Earths,15.39,2014
Kepler-228 c,5626,7.75 Earths,15.704,2014
Kepler-228 d,5626,15.4 Earths,15.704,2014
Kepler-229 b,2759,5.48 Earths,15.826,2014
Kepler-229 c,2759,21.5 Earths,15.826,2014
Kepler-229 d,2759,14.2 Earths,15.826,2014
Kepler-22 b,620,36 Earths,11.644,2011
Kepler-230 b,2468,16.8 Earths,15.073,2014
Kepler-230 c,2468,4.82 Earths,15.073,2014
Kepler-231 b,1042,35.4 Earths,15.39,2014
Kepler-231 c,1042,24.1 Earths,15.39,2014
Kepler-232 b,4576,9.69 Earths,15.32,2014
Kepler-232 c,4576,14 Earths,15.32,2014
Kepler-233 b,2863,6.48 Earths,15.326,2014
Kepler-233 c,2863,7.8 Earths,15.326,2014
Kepler-234 b,5940,13.2 Earths,15.501,2014
Kepler-234 c,5940,12.1 Earths,15.501,2014
Kepler-235 b,1413,5.6 Earths,15.969,2014
Kepler-235 c,1413,2.18 Earths,15.969,2014
Kepler-235 d,1413,4.86 Earths,15.969,2014
Kepler-235 e,1413,5.56 Earths,15.969,2014
Kepler-236 b,950,3.09 Earths,15.374,2014
Kepler-236 c,950,4.66 Earths,15.374,2014
Kepler-237 b,2187,2.57 Earths,15.283,2014
Kepler-237 c,2187,4.98 Earths,15.283,2014
Kepler-238 b,6190,3.64 Earths,15.024,2014
Kepler-238 c,6190,6.3 Earths,15.024,2014
Kepler-238 d,6190,9.64 Earths,15.024,2014
Kepler-238 e,6190,0.534 Jupiters,15.024,2013
Kepler-238 f,6190,13.5 Earths,15.024,2013
Kepler-239 b,2153,6.04 Earths,15.233,2014
Kepler-236 b,950,3.09 Earths,15.374,2014
Kepler-236 c,950,4.66 Earths,15.374,2014
Kepler-237 b,2187,2.57 Earths,15.283,2014
Kepler-237 c,2187,4.98 Earths,15.283,2014
Kepler-238 b,6190,3.64 Earths,15.024,2014
Kepler-238 c,6190,6.3 Earths,15.024,2014
Kepler-238 d,6190,9.64 Earths,15.024,2014
Kepler-238 e,6190,0.534 Jupiters,15.024,2013
Kepler-238 f,6190,13.5 Earths,15.024,2013
Kepler-239 b,2153,6.04 Earths,15.233,2014
Kepler-239 c,2153,6.85 Earths,15.233,2014
Kepler-23 b,2793,0.8 Jupiters,13.401,2011
Kepler-23 c,2793,2.7 Jupiters,13.401,2011
Kepler-23 d,2793,17.6 Earths,13.401,2014
Kepler-240 b,2488,2.45 Earths,15.662,2014
Kepler-240 c,2488,0.322 Jupiters,15.662,2014
Kepler-241 b,1989,6.04 Earths,15.387,2014
Kepler-241 c,1989,7.13 Earths,15.387,2014
Kepler-242 b,1992,7.32 Earths,15.349,2014
Kepler-242 c,1992,4.66 Earths,15.349,2014
Kepler-243 b,2309,6.57 Earths,15.057,2014
Kepler-243 c,2309,4.62 Earths,15.057,2014
Kepler-244 b,3483,8.05 Earths,15.545,2014
Kepler-244 c,3483,4.86 Earths,15.545,2014
Kepler-244 d,3483,15.2 Earths,15.545,2014
Kepler-245 b,2879,7.13 Earths,15.597,2014
Kepler-245 c,2879,0.71 Jupiters,15.597,2014
Kepler-245 d,2879,21.6 Earths,15.597,2014
Kepler-245 e,2879,3.71 Earths,15.597,2016
Kepler-246 b,2079,6.08 Earths,15.042,2014
Kepler-243 b,2309,6.57 Earths,15.057,2014
Kepler-243 c,2309,4.62 Earths,15.057,2014
Kepler-244 b,3483,8.05 Earths,15.545,2014
Kepler-244 c,3483,4.86 Earths,15.545,2014
Kepler-244 d,3483,15.2 Earths,15.545,2014
Kepler-245 b,2879,7.13 Earths,15.597,2014
Kepler-245 c,2879,0.71 Jupiters,15.597,2014
Kepler-245 d,2879,21.6 Earths,15.597,2014
Kepler-245 e,2879,3.71 Earths,15.597,2016
Kepler-246 b,2079,6.08 Earths,15.042,2014
Kepler-24 c,3901,1.6 Jupiters,14.923,2011
Kepler-24 d,3901,3.43 Earths,14.923,2014
Kepler-24 e,3901,8.15 Earths,14.923,2014
Kepler-250 b,2536,1.51 Earths,15.414,2014
Kepler-250 c,2536,5.82 Earths,15.414,2014
Kepler-250 d,2536,5.39 Earths,15.414,2014
Kepler-251 b,3096,2.33 Earths,15.216,2014
Kepler-251 c,3096,8.1 Earths,15.216,2014
Kepler-251 d,3096,8.1 Earths,15.216,2014
Kepler-251 e,3096,8.1 Earths,15.216,2014
Kepler-252 b,1251,2.04 Earths,15.029,2014
Kepler-252 c,1251,5.27 Earths,15.029,2014
Kepler-253 b,2802,3.29 Earths,15.512,2014
Kepler-253 c,2802,7.51 Earths,15.512,2014
Kepler-253 d,2802,10.2 Earths,15.512,2014
Kepler-254 b,4718,14.3 Earths,15.838,2014
Kepler-254 c,4718,3.2 Earths,15.838,2014
Kepler-254 d,4718,6.8 Earths,15.838,2014
Kepler-255 b,3538,3.02 Earths,15.528,2014
Kepler-255 c,3538,9.22 Earths,15.528,2014
Kepler-252 b,1251,2.04 Earths,15.029,2014
Kepler-252 c,1251,5.27 Earths,15.029,2014
Kepler-253 b,2802,3.29 Earths,15.512,2014
Kepler-253 c,2802,7.51 Earths,15.512,2014
Kepler-253 d,2802,10.2 Earths,15.512,2014
Kepler-254 b,4718,14.3 Earths,15.838,2014
Kepler-254 c,4718,3.2 Earths,15.838,2014
Kepler-254 d,4718,6.8 Earths,15.838,2014
Kepler-255 b,3538,3.02 Earths,15.528,2014
Kepler-255 c,3538,9.22 Earths,15.528,2014
Kepler-255 d,3538,2.3 Earths,15.528,2016
Kepler-256 b,3449,3.15 Earths,15.015,2014
Kepler-256 c,3449,5.27 Earths,15.015,2014
Kepler-256 d,3449,6.71 Earths,15.015,2014
Kepler-256 e,3449,6.12 Earths,15.015,2014
Kepler-257 b,2602,7.32 Earths,15.422,2014
Kepler-257 c,2602,25.2 Earths,15.422,2014
Kepler-257 d,2602,21.7 Earths,15.422,2014
Kepler-258 b,1910,15.5 Earths,15.201,2014
Kepler-258 c,1910,12.7 Earths,15.201,2014
Kepler-255 d,3538,2.3 Earths,15.528,2016
Kepler-256 b,3449,3.15 Earths,15.015,2014
Kepler-256 c,3449,5.27 Earths,15.015,2014
Kepler-256 d,3449,6.71 Earths,15.015,2014
Kepler-256 e,3449,6.12 Earths,15.015,2014
Kepler-257 b,2602,7.32 Earths,15.422,2014
Kepler-257 c,2602,25.2 Earths,15.422,2014
Kepler-257 d,2602,21.7 Earths,15.422,2014
Kepler-258 b,1910,15.5 Earths,15.201,2014
Kepler-258 c,1910,12.7 Earths,15.201,2014
Kepler-259 b,3365,8.25 Earths,15.169,2014
Kepler-259 c,3365,7.75 Earths,15.169,2014
Kepler-25 b,799,8.7 Earths,10.632,2011
Kepler-25 c,799,15.2 Earths,10.632,2011
Kepler-25 d,799,0.226 Jupiters,10.632,2014
Kepler-260 b,2084,4.7 Earths,14.118,2014
Kepler-260 c,2084,3.68 Earths,14.118,2014
Kepler-261 b,1045,5.39 Earths,13.529,2014
Kepler-261 c,1045,4.66 Earths,13.529,2014
Kepler-262 b,2036,2.42 Earths,14.224,2014
Kepler-262 c,2036,3.33 Earths,14.224,2014
Kepler-263 b,2515,7.61 Earths,15.417,2014
Kepler-263 c,2515,6.66 Earths,15.417,2014
Kepler-264 b,3158,11.1 Earths,13.013,2014
Kepler-264 c,3158,8.4 Earths,13.013,2014
Kepler-265 b,4333,4.12 Earths,15.352,2014
Kepler-265 c,4333,7.41 Earths,15.352,2014
Kepler-265 d,4333,6.76 Earths,15.352,2014
Kepler-265 e,4333,7.22 Earths,15.352,2014
Kepler-266 b,4649,6.71 Earths,15.577,2014
Kepler-262 c,2036,3.33 Earths,14.224,2014
Kepler-263 b,2515,7.61 Earths,15.417,2014
Kepler-263 c,2515,6.66 Earths,15.417,2014
Kepler-264 b,3158,11.1 Earths,13.013,2014
